DEPARTAMENTO,PROVINCIA,DISTRITO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,TOTAL,,,,,,,,,
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,,,1,,,,,,,1,,,2,,,,,,,,,
AMAZONAS,BAGUA,ARAMANGO,,,,,1,,,,,,,,,1,,,,,,,,,
AMAZONAS,BAGUA,BAGUA,,,,,,,,,,3,,,,3,,,,,,,,,
AMAZONAS,BAGUA,IMAZA,,,1,5,1,1,3,,,,,,,11,,,,,,,,,
AMAZONAS,BAGUA,LA PECA,,,,,1,,,,,,,,,1,,,,,,,,,
AMAZONAS,BONGARA,FLORIDA,1,,,,,,,,,,,,,1,,,,,,,,,
AMAZONAS,BONGARA,JAZAN,,,2,,,,,,,,,,,2,,,,,,,,,
AMAZONAS,BONGARA,SHIPASBAMBA,,,,,1,,,,,,,,,1,,,,,,,,,
AMAZONAS,CONDORCANQUI,EL CENEPA,,1,1,,,,,,,,,,,2,,,,,,,,,
AMAZONAS,CONDORCANQUI,NIEVA,,,1,,3,,1,,2,,,,1,8,,,,,,,,,
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,,,,,,,,,,,,1,,1,,,,,,,,,
ANCASH,CASMA,BUENA VISTA ALTA,,1,,,,,,,,,,,,1,,,,,,,,,
ANCASH,CASMA,CASMA,1,,,,,,,,,,,,1,2,,,,,,,,,
ANCASH,SANTA,CHIMBOTE,,1,,,,,,,1,,1,,,3,,,,,,,,,
ANCASH,SANTA,NEPEÑA,,,,,,,,,,,,,1,1,,,,,,,,,
ANCASH,SANTA,NUEVO CHIMBOTE,,,,1,,,1,1,,,,,3,6,,,,,,,,,
ANCASH,SANTA,YUNGAY,,,1,,,,,,,,,,,1,,,,,,,,,
ANCASH,HUARAZ,HUARAZ,,,,1,,,,,,,1,,,2,,,,,,,,,
ANCASH,HUARAZ,INDEPENDENCIA,,,1,,,,1,,,,,,,2,,,,,,,,,
ANCASH,RECUAY,PARARIN,,1,,,,,,,,,,,,1,,,,,,,,,
ANCASH,RECUAY,RECUAY,,,1,,,,,,,,,,,1,,,,,,,,,
ANCASH,HUAYLAS,CARAZ,,,,,,,,,,1,,1,,2,,,,,,,,,
ANCASH,BOLOGNESI,CHIQUIAN,,,,,,1,,,,,,,,1,,,,,,,,,
ANCASH,CARHUAZ,ANTA,,,,,,,1,,,,,,,1,,,,,,,,,
ANCASH,CARHUAZ,CARHUAZ,,,,,,,,,,,,,1,1,,,,,,,,,
ANCASH,ASUNCION,CHACAS,1,,,,,,,,,,,,,1,,,,,,,,,
ANCASH,SIHUAS,SIHUAS,,,,,,,,1,,,,,,1,,,,,,,,,
ANCASH,MARISCAL LUZURIAGA,CASCA,,,,,,,,,,,,1,,1,,,,,,,,,
APURIMAC,ABANCAY,ABANCAY,,,1,,,,,1,,1,,,2,5,,,,,,,,,
APURIMAC,ABANCAY,CURAHUASI,,,,,1,,,,,,,,,1,,,,,,,,,
APURIMAC,ABANCAY,LAMBRAMA,,,,,,,,,1,,,,,1,,,,,,,,,
APURIMAC,COTABAMBAS,COYLLURQUI,,,,,2,,,,,,,,,2,,,,,,,,,
APURIMAC,AYMARAES,CHALHUANCA,,,,,,,1,,,,,,,1,,,,,,,,,
APURIMAC,AYMARAES,CHAPIMARCA,1,,,,,,,,,,,,,1,,,,,,,,,
APURIMAC,AYMARAES,COTARUSE,,,,,,,,,,,,,4,4,,,,,,,,,
APURIMAC,GRAU,CHUQUIBAMBILLA,,,,,1,,,,1,,,,,2,,,,,,,,,
APURIMAC,GRAU,MARISCAL GAMARRA,,,,,,,,,,,,,1,1,,,,,,,,,
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,,,1,1,2,,,3,,1,,1,,9,,,,,,,,,
APURIMAC,ANDAHUAYLAS,PACUCHA,,,,,,,,,1,,,,,1,,,,,,,,,
APURIMAC,ANDAHUAYLAS,PAMPACHIRI,,,,,,1,,,1,,,,,2,,,,,,,,,
APURIMAC,ANDAHUAYLAS,SAN JERONIMO,,,,,,,,1,,,1,,,2,,,,,,,,,
APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,,,,,,,1,,,,,,,1,,,,,,,,,
APURIMAC,ANDAHUAYLAS,TALAVERA,,,1,,,,,,,,,,,1,,,,,,,,,
APURIMAC,CHINCHEROS,ANCO-HUALLO,,,,,,,,,,,,1,,1,,,,,,,,,
APURIMAC,CHINCHEROS,HUACCANA,,,,,,,,1,,,,,,1,,,,,,,,,
AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,,1,,,1,,,,,2,1,2,1,8,,,,,,,,,
AREQUIPA,AREQUIPA,AREQUIPA,,1,,1,,,,,,,,,1,3,,,,,,,,,
AREQUIPA,AREQUIPA,CAYMA,,,,,,,,,,2,1,,2,5,,,,,,,,,
AREQUIPA,AREQUIPA,CERRO COLORADO,2,1,,,,,5,4,1,1,2,5,3,24,,,,,,,,,
AREQUIPA,AREQUIPA,CHARACATO,,,,,,,,,,,,,1,1,,,,,,,,,
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,,,,,,,,2,,,,,1,3,,,,,,,,,
AREQUIPA,AREQUIPA,LA JOYA,,,,,,,,1,1,2,,1,3,8,,,,,,,,,
AREQUIPA,AREQUIPA,MARIANO MELGAR,,,,,1,,1,1,1,,,3,5,12,,,,,,,,,
AREQUIPA,AREQUIPA,MIRAFLORES,,,,,,,,,,1,,,1,2,,,,,,,,,
AREQUIPA,AREQUIPA,PAUCARPATA,,,1,,,,,2,2,4,2,1,5,17,,,,,,,,,
AREQUIPA,AREQUIPA,SABANDIA,,,1,,,,,,,,,,,1,,,,,,,,,
AREQUIPA,AREQUIPA,SACHACA,,,,,,,,,1,,1,1,1,4,,,,,,,,,
AREQUIPA,AREQUIPA,SOCABAYA,,,,,1,,,,1,,,1,,3,,,,,,,,,
AREQUIPA,AREQUIPA,TIABAYA,,,,,,,,,1,,2,,,3,,,,,,,,,
AREQUIPA,AREQUIPA,UCHUMAYO,,,,,,,,,,,1,1,,2,,,,,,,,,
AREQUIPA,AREQUIPA,YURA,,1,,,,,1,3,1,,,,1,7,,,,,,,,,
AREQUIPA,CARAVELI,CHALA,,,,,,,,,,,,,2,2,,,,,,,,,
AREQUIPA,CAMANA,CAMANA,,,,,,,,,1,,,,2,3,,,,,,,,,
AREQUIPA,CAMANA,MARISCAL CACERES,,,,,,,,,,,,2,,2,,,,,,,,,
AREQUIPA,ISLAY,COCACHACRA,,,,,,,,,1,,,,,1,,,,,,,,,
AREQUIPA,ISLAY,MOLLENDO,,1,,,1,,,,,,,,,2,,,,,,,,,
AREQUIPA,CAYLLOMA,CHIVAY,,,,1,,,,,,,,,,1,,,,,,,,,
AREQUIPA,CAYLLOMA,MAJES,,,,,,,,8,1,1,,1,5,16,,,,,,,,,
AREQUIPA,CASTILLA,URACA,,,,,,,,,1,,,,,1,,,,,,,,,
AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES D.,,,,,,,,,,,,,1,1,,,,,,,,,
AYACUCHO,HUAMANGA,AYACUCHO,,,,,,1,3,,2,,4,,1,11,,,,,,,,,
AYACUCHO,HUAMANGA,CARMEN ALTO,,,,,,,,,,,2,1,2,5,,,,,,,,,
AYACUCHO,HUAMANGA,JESUS NAZARENO,,,,,,,1,,,,,1,1,3,,,,,,,,,
AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,,,,,,,1,,,,1,2,1,5,,,,,,,,,
AYACUCHO,HUAMANGA,SOCOS,,,,,1,,,,,,,,,1,,,,,,,,,
AYACUCHO,HUAMANGA,VINCHOS,,,,,,,1,,,,,,,1,,,,,,,,,
AYACUCHO,HUANTA,AYAHUANCO,,,,,,,,,,,,,1,1,,,,,,,,,
AYACUCHO,HUANTA,HUANTA,,,,,,,1,,,2,,1,2,6,,,,,,,,,
AYACUCHO,HUANTA,LLOCHEGUA,,,,1,,,,,,,,,,1,,,,,,,,,
AYACUCHO,HUANTA,SANTILLANA,,,,,1,,,,,,,,,1,,,,,,,,,
AYACUCHO,HUANTA,SIVIA,,,,,,,,,1,,,,,1,,,,,,,,,
AYACUCHO,HUANTA,UCHURACCAY,,,,,,,,1,,,,,,1,,,,,,,,,
AYACUCHO,LUCANAS,CHAVIÑA,,,,,,,,1,,,,,,1,,,,,,,,,
AYACUCHO,LA MAR,AYNA,,,1,,,1,1,1,,,,,,4,,,,,,,,,
AYACUCHO,LA MAR,SAMUGARI,,,,,,,,,1,,,,,1,,,,,,,,,
AYACUCHO,LA MAR,SAN MIGUEL,,,,,,,,,,,,,1,1,,,,,,,,,
AYACUCHO,LA MAR,SANTA ROSA,,,,,1,,1,1,1,1,,,1,6,,,,,,,,,
AYACUCHO,VILCAS HUAMAN,ACCOMARCA,,,,1,,,,,,,,,,1,,,,,,,,,
AYACUCHO,CANGALLO,CANGALLO,,,,,,1,,,,,,,,1,,,,,,,,,
CAJAMARCA,JAEN,JAEN,,,,,1,,1,,,,,4,,6,,,,,,,,,
CAJAMARCA,JAEN,PUCARA,,,,,,,,,,,,1,,1,,,,,,,,,
CAJAMARCA,SAN IGNACIO,SAN IGNACIO,,,,,,,,,,,,,1,1,,,,,,,,,
CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,,,,,1,,,,,,,,,1,,,,,,,,,
CAJAMARCA,CAJAMARCA,CAJAMARCA,,,,,,,,1,,,,,,1,,,,,,,,,
CAJAMARCA,CUTERVO,CUTERVO,,,,,,,,,,,,,1,1,,,,,,,,,
CAJAMARCA,CONTUMAZA,CONTUMAZA,,,,,,,,1,,,,,,1,,,,,,,,,
CAJAMARCA,SANTA CRUZ,LA ESPERANZA,1,,,,,,,,,,,,,1,,,,,,,,,
CAJAMARCA,CHOTA,CHOTA,,,,,1,,1,,,,,,,2,,,,,,,,,
CAJAMARCA,CHOTA,CONCHAN,,,,,,,1,,,,,,,1,,,,,,,,,
CAJAMARCA,CHOTA,LLAMA,,,,,,,,,,1,,,,1,,,,,,,,,
CAJAMARCA,CHOTA,TACABAMBA,,,,,1,,,,,,,,,1,,,,,,,,,
CAJAMARCA,HUALGAYOC,BAMBAMARCA,,,,,,,,1,,,,,,1,,,,,,,,,
CALLAO,CALLAO,BELLAVISTA,4,1,1,1,,,1,1,2,,,,,11,,,,,,,,,
CALLAO,CALLAO,CALLAO,10,6,5,11,5,7,5,6,15,15,7,7,8,107,,,,,,,,,
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,1,1,,1,,,1,,1,,1,,2,8,,,,,,,,,
CALLAO,CALLAO,LA PERLA,2,1,,,,,1,,,,,1,1,6,,,,,,,,,
CALLAO,CALLAO,MI PERU,,,,,,,,,1,,,,,1,,,,,,,,,
CALLAO,CALLAO,VENTANILLA,4,2,1,2,4,3,8,19,3,11,2,2,,61,,,,,,,,,
CUSCO,ANTA,ANTA,2,,1,,,,,,,,1,,,4,,,,,,,,,
CUSCO,ANTA,CHINCHAYPUJIO,,,1,,,,,,,,,1,,2,,,,,,,,,
CUSCO,ANTA,HUAROCONDO,,,,,,,,,,1,,,,1,,,,,,,,,
CUSCO,ANTA,LIMATAMBO,1,,,,,,,,,,,,,1,,,,,,,,,
CUSCO,ANTA,MOLLEPATA,,,,,,,1,,,1,,,,2,,,,,,,,,
CUSCO,ANTA,PUCYURA,,,,,,,,1,,,,,,1,,,,,,,,,
CUSCO,ANTA,ZURITE,,,,,,1,1,,,,,,,2,,,,,,,,,
CUSCO,CUSCO,CCORCA,,,,,1,,,,,,,,,1,,,,,,,,,
CUSCO,CUSCO,CUSCO,1,6,3,4,4,,1,,1,1,,,1,22,,,,,,,,,
CUSCO,CUSCO,POROY,,,,2,2,,,,,,,,,4,,,,,,,,,
CUSCO,CUSCO,SAN JERONIMO,,,2,,,,1,,,3,1,1,,8,,,,,,,,,
CUSCO,CUSCO,SAN SEBASTIAN,,2,2,,2,1,2,,2,2,3,,,16,,,,,,,,,
CUSCO,CUSCO,SANTIAGO,3,5,7,4,4,1,2,3,1,,1,2,1,34,,,,,,,,,
CUSCO,CUSCO,SAYLLA,,,,1,,,,,,2,,,1,4,,,,,,,,,
CUSCO,CUSCO,WANCHAQ,,,1,,1,,,1,,2,,,,5,,,,,,,,,
CUSCO,CHUMBIVILCAS,COLQUEMARCA,,,,,,,1,,,,,1,,2,,,,,,,,,
CUSCO,CHUMBIVILCAS,LLUSCO,,,,,,,,,,,1,,,1,,,,,,,,,
CUSCO,CHUMBIVILCAS,SANTO TOMAS,,,,,,,,,,2,,,,2,,,,,,,,,
CUSCO,CHUMBIVILCAS,VELILLE,,,,,,,,,,,,1,,1,,,,,,,,,
CUSCO,LA CONVENCION,ECHARATE,,1,2,1,,,,,,3,1,,1,9,,,,,,,,,
CUSCO,LA CONVENCION,HUAYOPATA,,,,,,,,,,1,,,,1,,,,,,,,,
CUSCO,LA CONVENCION,INKAWASI,,,,,,,,,,,,,1,1,,,,,,,,,
CUSCO,LA CONVENCION,KIMBIRI,,,1,,,1,2,2,,,,1,2,9,,,,,,,,,
CUSCO,LA CONVENCION,MARANURA,1,,1,,,,,,,,,,,2,,,,,,,,,
CUSCO,LA CONVENCION,OCOBAMBA,,,,,,,1,,,,,,,1,,,,,,,,,
CUSCO,LA CONVENCION,PICHARI,,,,,,,,1,,1,,1,1,4,,,,,,,,,
CUSCO,LA CONVENCION,QUELLOUNO,,,,1,,,,,,,,,,1,,,,,,,,,
CUSCO,LA CONVENCION,SANTA ANA,,,2,2,,,1,1,1,,2,,,9,,,,,,,,,
CUSCO,LA CONVENCION,VILCABAMBA,1,,,,,,,,,,,,,1,,,,,,,,,
CUSCO,LA CONVENCION,VILLA VIRGEN,,,,,,,,,,,1,,,1,,,,,,,,,
CUSCO,CALCA,CALCA,,,1,1,,,1,,1,,,,,4,,,,,,,,,
CUSCO,CALCA,LAMAY,,,,,1,,,,,1,,,,2,,,,,,,,,
CUSCO,CALCA,LARES,,,1,,,,,,,,,,,1,,,,,,,,,
CUSCO,CALCA,PISAC,,,,1,,1,,,,,1,,,3,,,,,,,,,
CUSCO,CALCA,SAN SALVADOR,,,,,1,,,,,,,,,1,,,,,,,,,
CUSCO,CALCA,TARAY,,,,,1,,,,,,,,,1,,,,,,,,,
CUSCO,CALCA,YANATILE,,,,,,,1,,,,,,,1,,,,,,,,,
CUSCO,URUBAMBA,MARAS,,,,,,,,1,,,,,,1,,,,,,,,,
CUSCO,URUBAMBA,OLLANTAYTAMBO,,,,,2,,,1,,,,,,3,,,,,,,,,
CUSCO,URUBAMBA,URUBAMBA,,,,1,1,,,,,,,,,2,,,,,,,,,
CUSCO,PAUCARTAMBO,CHALLABAMBA,,,,,1,,,,1,,,,,2,,,,,,,,,
CUSCO,PAUCARTAMBO,COLQUEPATA,,,,1,,,,,,,,,,1,,,,,,,,,
CUSCO,PAUCARTAMBO,HUANCARANI,,,,,,,,1,,1,,1,,3,,,,,,,,,
CUSCO,PAUCARTAMBO,KOSÑIPATA,,,,1,,,,2,1,,,,,4,,,,,,,,,
CUSCO,QUISPICANCHI,CCATCA,,,,,,,,,,,1,,,1,,,,,,,,,
CUSCO,QUISPICANCHI,CUSIPATA,,,,1,,,,,,,,,,1,,,,,,,,,
CUSCO,QUISPICANCHI,LUCRE,,,,1,,,,,,,,,,1,,,,,,,,,
CUSCO,QUISPICANCHI,OROPESA,,,,,,,,,3,2,1,,,6,,,,,,,,,
CUSCO,QUISPICANCHI,QUIQUIJANA,,,,,,,1,,,,,,,1,,,,,,,,,
CUSCO,QUISPICANCHI,URCOS,2,,,,,,,,,1,,,,3,,,,,,,,,
CUSCO,CANCHIS,CHECACUPE,,,,,,,,,,,,1,,1,,,,,,,,,
CUSCO,CANCHIS,SAN PABLO,,,,,,,,,,,1,,,1,,,,,,,,,
CUSCO,CANCHIS,SICUANI,,,,,1,1,,2,3,1,1,1,,10,,,,,,,,,
CUSCO,CANCHIS,TINTA,,,,,,,,,,,1,,,1,,,,,,,,,
CUSCO,PARURO,ACCHA,,,,,,,,,,1,,,,1,,,,,,,,,
CUSCO,PARURO,HUANOQUITE,,,,1,,,1,,,,,,,2,,,,,,,,,
CUSCO,CANAS,PAMPAMARCA,,,,,,,,,,,1,,,1,,,,,,,,,
CUSCO,ESPINAR,ESPINAR,,1,,,,,,,,,,,,1,,,,,,,,,
CUSCO,ACOMAYO,ACOMAYO,,,1,1,,,,,,,,,,2,,,,,,,,,
CUSCO,ACOMAYO,ACOS,,,,1,,,,,,,,,,1,,,,,,,,,
HUANCAVELICA,ACOBAMBA,PAUCARA,,,,1,,,,,,,,,,1,,,,,,,,,
HUANCAVELICA,TAYACAJA,AHUAYCHA,,,,,,,,,1,,,,,1,,,,,,,,,
HUANCAVELICA,TAYACAJA,COLCABAMBA,1,,1,,1,,,,,,,,,3,,,,,,,,,
HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,,,,,,1,,,1,,,,,2,,,,,,,,,
HUANCAVELICA,TAYACAJA,HUARIBAMBA,,1,,,,,,,,,,,,1,,,,,,,,,
HUANCAVELICA,TAYACAJA,PAMPAS,,,,,,,,,,1,,,,1,,,,,,,,,
HUANCAVELICA,TAYACAJA,PAZOS,1,,,,,,,,,,,,,1,,,,,,,,,
HUANCAVELICA,TAYACAJA,PICHOS,,,,,,,,,,,,1,,1,,,,,,,,,
HUANCAVELICA,TAYACAJA,SALCABAMBA,,1,,,,,,,,,,,,1,,,,,,,,,
HUANCAVELICA,TAYACAJA,TINTAY PUNCU,1,,,,,,,,,,,,,1,,,,,,,,,
HUANCAVELICA,HUANCAVELICA,ACORIA,,1,,,,,,,,,,,,1,,,,,,,,,
HUANCAVELICA,HUANCAVELICA,ASCENSION,,,1,,,1,,,,,,,,2,,,,,,,,,
HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,,,2,,,,,,,,,,,2,,,,,,,,,
HUANCAVELICA,HUANCAVELICA,MARISCAL CACERES,,,1,,,,,,,,,,,1,,,,,,,,,
HUANCAVELICA,HUANCAVELICA,YAULI,1,,,,,,,,,,,,,1,,,,,,,,,
HUANCAVELICA,ANGARAES,LIRCAY,,,,,1,,,,,,,,,1,,,,,,,,,
HUANCAVELICA,HUAYTARA,CORDOVA,,,,,1,,,,,,,,,1,,,,,,,,,
HUANUCO,HUAMALIES,JACAS GRANDE,,,,,,,,,,1,,,,1,,,,,,,,,
HUANUCO,HUAMALIES,PUÑOS,1,,,,,,,,,,,,,1,,,,,,,,,
HUANUCO,HUANUCO,AMARILIS,4,1,,,,2,1,,,,1,2,,11,,,,,,,,,
HUANUCO,HUANUCO,CHURUBAMBA,2,,1,,,,,,,,1,,,4,,,,,,,,,
HUANUCO,HUANUCO,HUANUCO,,,3,1,2,,,2,,2,1,1,1,13,,,,,,,,,
HUANUCO,HUANUCO,PILLCO MARCA,3,,,,,,1,2,,,1,,,7,,,,,,,,,
HUANUCO,HUANUCO,SAN PABLO DE PILLAO,,,,,,,,,,,1,,,1,,,,,,,,,
HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,4,,,1,1,,,,,,,,,6,,,,,,,,,
HUANUCO,PACHITEA,CHAGLLA,,1,,,,,,,,,,,,1,,,,,,,,,
HUANUCO,PACHITEA,MOLINO,11,8,3,,,,,,,,,2,,24,,,,,,,,,
HUANUCO,PACHITEA,PANAO,8,6,2,,,1,,,2,1,,1,,21,,,,,,,,,
HUANUCO,PACHITEA,UMARI,4,5,2,1,1,,,,,2,1,,,16,,,,,,,,,
HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,,1,,1,,,1,,,,,,,3,,,,,,,,,
HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,1,,,,1,,,,,,,,,2,,,,,,,,,
HUANUCO,LEONCIO PRADO,RUPA-RUPA,,1,,,2,,,,,1,,,,4,,,,,,,,,
HUANUCO,LAURICOCHA,BAÑOS,,,1,,,,,,,,,,,1,,,,,,,,,
HUANUCO,LAURICOCHA,SAN FRANCISCO DE ASIS,,,1,,,,,,,,,,,1,,,,,,,,,
HUANUCO,HUACAYBAMBA,COCHABAMBA,,,,,,,,1,,,,,,1,,,,,,,,,
HUANUCO,DOS DE MAYO,LA UNION,,1,,,,,,,,,,,,1,,,,,,,,,
HUANUCO,DOS DE MAYO,MARIAS,,,,,,,,1,,,,,,1,,,,,,,,,
HUANUCO,DOS DE MAYO,SHUNQUI,,,,1,,,,,,,,,,1,,,,,,,,,
HUANUCO,PUERTO INCA,PUERTO INCA,,,1,,,,,1,,,,1,,3,,,,,,,,,
HUANUCO,PUERTO INCA,TOURNAVISTA,,1,,1,,,,,,,,,,2,,,,,,,,,
HUANUCO,PUERTO INCA,YUYAPICHIS,,1,,,,,,,,1,,,,2,,,,,,,,,
HUANUCO,AMBO,AMBO,,3,,,,,,,,,,1,,4,,,,,,,,,
HUANUCO,AMBO,CONCHAMARCA,1,,,,,,,,,,,,,1,,,,,,,,,
HUANUCO,AMBO,HUACAR,,,2,,,,,,,,,1,,3,,,,,,,,,
HUANUCO,YAROWILCA,APARICIO POMARES,,,2,,,,,,,,,,,2,,,,,,,,,
ICA,ICA,ICA,,1,,,,,1,,,1,,2,2,7,,,,,,,,,
ICA,ICA,LA TINGUIÑA,,,,,,,,,,,,2,,2,,,,,,,,,
ICA,ICA,LOS AQUIJES,,,,,,,,,,,,,1,1,,,,,,,,,
ICA,ICA,PACHACUTEC,,,,,,,,,,,,,1,1,,,,,,,,,
ICA,ICA,SANTIAGO,,,,,,,1,,,,,,1,2,,,,,,,,,
ICA,ICA,SUBTANJALLA,,,,,,,,,,,,,1,1,,,,,,,,,
ICA,ICA,YAUCA DEL ROSARIO,,,,,,,,,1,,,,,1,,,,,,,,,
ICA,CHINCHA,CHINCHA ALTA,,,,,,,,,,,1,1,,2,,,,,,,,,
ICA,CHINCHA,CHINCHA BAJA,,,,,,,,,,,,1,,1,,,,,,,,,
ICA,CHINCHA,GROCIO PRADO,,,,,,,,1,1,,,,,2,,,,,,,,,
ICA,CHINCHA,PUEBLO NUEVO,,,,,,,3,1,,3,1,,,8,,,,,,,,,
ICA,CHINCHA,SUNAMPE,1,,,,,,,1,1,,1,,,4,,,,,,,,,
ICA,PISCO,PISCO,,,,,,,,1,3,3,,1,5,13,,,,,,,,,
ICA,PISCO,SAN ANDRES,,,,,,,,1,,,,,1,2,,,,,,,,,
ICA,PISCO,SAN CLEMENTE,,,,,,,,,,,,,1,1,,,,,,,,,
ICA,NAZCA,CHANGUILLO,,,,,,,1,,,,,,,1,,,,,,,,,
ICA,NAZCA,NAZCA,,,,,,,,,2,,,,,2,,,,,,,,,
ICA,PALPA,PALPA,,,,,,,1,,1,,,,,2,,,,,,,,,
ICA,IMPORTADO,IMPORTADO,,,,,,,,,1,5,3,1,,10,,,,,,,,,
JUNIN,SATIPO,COVIRIALI,,,,,,,,,,,,,2,2,,,,,,,,,
JUNIN,SATIPO,MAZAMARI,,1,,,1,,1,3,,,,1,3,10,,,,,,,,,
JUNIN,SATIPO,PAMPA HERMOSA,,,,,,,,,1,,,,,1,,,,,,,,,
JUNIN,SATIPO,PANGOA,,,,,,1,3,1,,,,,1,6,,,,,,,,,
JUNIN,SATIPO,RIO NEGRO,,,1,,,,1,1,2,,,2,1,8,,,,,,,,,
JUNIN,SATIPO,RIO TAMBO,,,1,,,,1,,,,,2,3,7,,,,,,,,,
JUNIN,SATIPO,SATIPO,,,1,1,,,4,,1,,,7,9,23,,,,,,,,,
JUNIN,TARMA,TARMA,,,,,,1,,,,,,,,1,,,,,,,,,
JUNIN,HUANCAYO,CHILCA,,1,,1,1,3,3,1,,2,2,1,2,17,,,,,,,,,
JUNIN,HUANCAYO,CHUPURO,1,,,,,,,,,,,,,1,,,,,,,,,
JUNIN,HUANCAYO,COLCA,1,,1,,,,,,,,,,,2,,,,,,,,,
JUNIN,HUANCAYO,CULLHUAS,,1,,,,,,,,,,,,1,,,,,,,,,
JUNIN,HUANCAYO,EL TAMBO,,3,,2,1,2,1,1,,,2,1,2,15,,,,,,,,,
JUNIN,HUANCAYO,HUANCAN,,1,1,,,,,,,,1,,1,4,,,,,,,,,
JUNIN,HUANCAYO,HUANCAYO,1,4,4,2,6,,2,3,2,,1,3,,28,,,,,,,,,
JUNIN,HUANCAYO,HUAYUCACHI,,,,,,,,,,,1,,,1,,,,,,,,,
JUNIN,HUANCAYO,PARIAHUANCA,,,,,1,2,,,,,,,,3,,,,,,,,,
JUNIN,HUANCAYO,PILCOMAYO,,1,,,,,,,1,,,1,,3,,,,,,,,,
JUNIN,HUANCAYO,QUILCAS,,,1,1,,,,,,,,,,2,,,,,,,,,
JUNIN,HUANCAYO,SAN AGUSTIN,,,1,2,,2,,1,,,,,,6,,,,,,,,,
JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN,,,,1,,,,,1,,,,,2,,,,,,,,,
JUNIN,HUANCAYO,SAPALLANGA,,,,,,1,,1,,,,,,2,,,,,,,,,
