departamento,provincia,distrito,2015,2016,2017,2018,2019,2020,2021,2022,total
AMAZONAS,LUYA,CAMPORREDONDO,NA,NA,NA,1,NA,NA,NA,NA,1
AMAZONAS,LUYA,LONGUITA,NA,NA,NA,NA,NA,1,NA,NA,1
AMAZONAS,LUYA,OCALLI,NA,NA,NA,1,NA,NA,NA,NA,1
AMAZONAS,LUYA,OCUMAL,NA,NA,NA,NA,1,NA,NA,NA,1
AMAZONAS,LUYA,SANTO TOMAS,NA,NA,NA,1,NA,1,NA,NA,2
AMAZONAS,CHACHAPOYAS,BALSAS,NA,NA,NA,NA,NA,NA,NA,1,1
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,NA,NA,NA,NA,NA,1,NA,NA,1
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,NA,NA,NA,NA,1,NA,NA,NA,1
AMAZONAS,BAGUA,ARAMANGO,NA,2,NA,NA,NA,NA,NA,NA,2
AMAZONAS,BAGUA,BAGUA,NA,5,3,1,5,3,3,1,21
AMAZONAS,BAGUA,IMAZA,NA,24,11,7,7,6,11,5,71
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,NA,5,3,3,1,NA,NA,NA,12
AMAZONAS,UTCUBAMBA,CAJARURO,NA,1,1,1,NA,1,1,1,6
AMAZONAS,UTCUBAMBA,CUMBA,NA,NA,2,NA,1,NA,NA,NA,3
AMAZONAS,UTCUBAMBA,LONYA GRANDE,NA,2,NA,NA,NA,NA,NA,NA,2
AMAZONAS,UTCUBAMBA,YAMON,NA,NA,NA,NA,1,NA,NA,NA,1
AMAZONAS,BONGARA,JUMBILLA,NA,NA,NA,NA,1,NA,NA,NA,1
AMAZONAS,BONGARA,YAMBRASBAMBA,NA,NA,NA,NA,NA,1,NA,NA,1
AMAZONAS,CONDORCANQUI,EL CENEPA,NA,NA,NA,NA,1,NA,NA,NA,1
AMAZONAS,CONDORCANQUI,NIEVA,NA,NA,NA,1,NA,1,NA,1,3
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,NA,NA,1,NA,NA,NA,NA,1,2
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,NA,NA,NA,1,NA,1,NA,NA,2
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,NA,NA,NA,NA,NA,NA,1,NA,1
ANCASH,CASMA,BUENA VISTA ALTA,NA,NA,NA,1,NA,NA,NA,NA,1
ANCASH,CASMA,CASMA,NA,NA,NA,NA,NA,NA,NA,3,3
ANCASH,CASMA,YAUTAN,NA,NA,NA,NA,1,NA,NA,NA,1
ANCASH,SANTA,CHIMBOTE,NA,NA,NA,7,2,NA,1,5,15
ANCASH,SANTA,COISHCO,NA,NA,NA,NA,1,NA,NA,NA,1
ANCASH,SANTA,MORO,NA,1,NA,NA,1,NA,NA,NA,2
ANCASH,SANTA,NEPEÑA,NA,NA,NA,1,1,NA,NA,NA,2
ANCASH,SANTA,NUEVO CHIMBOTE,NA,NA,10,5,4,NA,3,20,42
ANCASH,YUNGAY,QUILLO,NA,NA,NA,NA,NA,NA,NA,1,1
ANCASH,YUNGAY,YUNGAY,NA,NA,NA,NA,NA,NA,4,3,7
ANCASH,HUARAZ,HUARAZ,NA,NA,NA,NA,1,2,1,1,5
ANCASH,HUARAZ,INDEPENDENCIA,NA,NA,NA,NA,2,1,1,2,6
ANCASH,HUARAZ,PARIACOTO,NA,NA,NA,1,NA,NA,NA,NA,1
ANCASH,HUARAZ,TARICA,NA,NA,NA,NA,1,NA,NA,NA,1
ANCASH,RECUAY,CATAC,NA,NA,NA,1,NA,NA,NA,NA,1
ANCASH,HUAYLAS,CARAZ,NA,NA,NA,2,2,NA,8,3,15
ANCASH,HUAYLAS,HUAYLAS,NA,NA,NA,NA,NA,NA,NA,1,1
ANCASH,BOLOGNESI,CANIS,NA,NA,NA,1,NA,NA,NA,NA,1
ANCASH,BOLOGNESI,CHIQUIAN,NA,NA,1,NA,1,NA,NA,NA,2
ANCASH,BOLOGNESI,HUALLANCA,NA,NA,NA,1,NA,NA,1,NA,2
ANCASH,CARHUAZ,CARHUAZ,NA,NA,NA,NA,NA,NA,NA,1,1
ANCASH,CARHUAZ,MARCARA,NA,NA,NA,NA,1,NA,NA,NA,1
ANCASH,POMABAMBA,POMABAMBA,NA,NA,NA,NA,1,NA,1,1,3
ANCASH,POMABAMBA,QUINUABAMBA,NA,1,NA,NA,NA,NA,NA,NA,1
ANCASH,SIHUAS,HUAYLLABAMBA,NA,1,NA,NA,NA,NA,NA,NA,1
ANCASH,SIHUAS,SIHUAS,NA,1,1,NA,NA,NA,NA,1,3
ANCASH,MARISCAL LUZURIAGA,CASCA,NA,NA,NA,NA,NA,NA,1,NA,1
ANCASH,AIJA,AIJA,NA,NA,NA,NA,NA,NA,1,NA,1
APURIMAC,ABANCAY,ABANCAY,NA,4,NA,1,8,NA,NA,5,18
APURIMAC,ABANCAY,CIRCA,NA,NA,NA,NA,1,NA,NA,NA,1
APURIMAC,ABANCAY,CURAHUASI,NA,1,NA,NA,NA,NA,NA,NA,1
APURIMAC,ABANCAY,LAMBRAMA,NA,NA,1,1,NA,NA,NA,NA,2
APURIMAC,ABANCAY,TAMBURCO,NA,1,NA,NA,NA,NA,NA,NA,1
APURIMAC,COTABAMBAS,COYLLURQUI,NA,NA,NA,NA,1,NA,2,NA,3
APURIMAC,COTABAMBAS,TAMBOBAMBA,NA,NA,NA,1,NA,NA,1,NA,2
APURIMAC,AYMARAES,CHALHUANCA,1,1,NA,NA,NA,NA,NA,NA,2
APURIMAC,AYMARAES,COTARUSE,NA,1,NA,NA,NA,NA,1,3,5
APURIMAC,GRAU,CHUQUIBAMBILLA,NA,NA,NA,1,NA,NA,NA,NA,1
APURIMAC,GRAU,CURPAHUASI,NA,NA,1,NA,NA,NA,NA,NA,1
APURIMAC,GRAU,MARISCAL GAMARRA,NA,NA,NA,NA,NA,NA,NA,1,1
APURIMAC,GRAU,VILCABAMBA,NA,NA,NA,NA,NA,1,NA,NA,1
APURIMAC,ANTABAMBA,ANTABAMBA,NA,NA,NA,NA,NA,NA,1,NA,1
APURIMAC,ANTABAMBA,OROPESA,NA,NA,1,NA,1,NA,NA,NA,2
APURIMAC,ANTABAMBA,SABAINO,NA,1,NA,NA,NA,NA,NA,NA,1
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,NA,NA,1,NA,2,NA,3,2,8
APURIMAC,ANDAHUAYLAS,HUANCARAMA,NA,NA,NA,1,NA,NA,NA,NA,1
APURIMAC,ANDAHUAYLAS,KISHUARA,NA,NA,NA,NA,NA,NA,NA,1,1
APURIMAC,ANDAHUAYLAS,PACUCHA,NA,NA,1,NA,NA,NA,NA,NA,1
APURIMAC,ANDAHUAYLAS,PAMPACHIRI,NA,NA,NA,1,NA,NA,NA,NA,1
APURIMAC,ANDAHUAYLAS,SAN JERONIMO,NA,NA,2,NA,NA,1,NA,NA,3
APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,NA,1,NA,NA,NA,NA,NA,NA,1
APURIMAC,ANDAHUAYLAS,TALAVERA,NA,NA,NA,NA,2,NA,1,1,4
APURIMAC,CHINCHEROS,ANCO HUALLO,NA,NA,NA,NA,NA,1,NA,NA,1
APURIMAC,CHINCHEROS,CHINCHEROS,NA,NA,NA,1,1,1,1,1,5
APURIMAC,CHINCHEROS,COCHARCAS,NA,NA,NA,1,NA,NA,NA,NA,1
APURIMAC,CHINCHEROS,HUACCANA,NA,NA,1,NA,NA,NA,NA,NA,1
APURIMAC,CHINCHEROS,LOS CHANKAS,NA,NA,NA,NA,NA,1,1,NA,2
APURIMAC,CHINCHEROS,OCOBAMBA,NA,NA,NA,NA,NA,1,NA,NA,1
APURIMAC,CHINCHEROS,RANRACANCHA,NA,NA,NA,NA,NA,NA,NA,1,1
APURIMAC,CHINCHEROS,ROCCHACC,NA,NA,NA,NA,1,NA,NA,NA,1
AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,NA,NA,NA,NA,1,1,2,2,6
AREQUIPA,AREQUIPA,AREQUIPA,NA,NA,NA,NA,1,1,NA,2,4
AREQUIPA,AREQUIPA,CAYMA,NA,NA,3,1,3,1,1,3,12
AREQUIPA,AREQUIPA,CERRO COLORADO,NA,5,3,1,5,3,5,4,26
AREQUIPA,AREQUIPA,JACOBO HUNTER,NA,NA,1,1,2,NA,NA,NA,4
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,NA,1,3,NA,NA,NA,NA,2,6
AREQUIPA,AREQUIPA,LA JOYA,NA,NA,1,2,1,NA,1,4,9
AREQUIPA,AREQUIPA,MARIANO MELGAR,NA,1,1,2,NA,2,3,7,16
AREQUIPA,AREQUIPA,MIRAFLORES,NA,NA,NA,3,1,1,NA,1,6
AREQUIPA,AREQUIPA,PAUCARPATA,NA,1,3,4,5,3,1,8,25
AREQUIPA,AREQUIPA,QUEQUEÑA,NA,NA,NA,NA,NA,NA,NA,1,1
AREQUIPA,AREQUIPA,SABANDIA,NA,NA,NA,NA,1,NA,NA,NA,1
AREQUIPA,AREQUIPA,SACHACA,NA,NA,NA,1,NA,1,1,1,4
AREQUIPA,AREQUIPA,SOCABAYA,NA,1,NA,1,NA,NA,1,1,4
AREQUIPA,AREQUIPA,TIABAYA,NA,NA,NA,1,NA,2,NA,NA,3
AREQUIPA,AREQUIPA,UCHUMAYO,NA,NA,NA,NA,NA,1,1,NA,2
AREQUIPA,AREQUIPA,YANAHUARA,NA,NA,NA,NA,NA,NA,NA,1,1
AREQUIPA,AREQUIPA,YURA,NA,2,3,3,NA,NA,NA,1,9
AREQUIPA,CARAVELI,CHALA,NA,NA,NA,NA,NA,NA,1,1,2
AREQUIPA,CAMANA,CAMANA,NA,NA,NA,1,NA,NA,NA,2,3
AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,NA,NA,NA,NA,NA,NA,NA,1,1
AREQUIPA,CAMANA,MARISCAL CACERES,NA,NA,NA,NA,1,NA,2,NA,3
AREQUIPA,CAMANA,OCOÑA,NA,NA,NA,NA,1,NA,NA,NA,1
AREQUIPA,CAMANA,SAMUEL PASTOR,NA,NA,NA,NA,NA,NA,NA,1,1
AREQUIPA,ISLAY,COCACHACRA,NA,NA,NA,1,NA,NA,NA,NA,1
AREQUIPA,ISLAY,DEAN VALDIVIA,NA,NA,NA,2,NA,NA,1,NA,3
AREQUIPA,ISLAY,PUNTA DE BOMBON,NA,NA,NA,NA,1,NA,NA,NA,1
AREQUIPA,CAYLLOMA,CHIVAY,NA,NA,1,NA,NA,NA,NA,NA,1
AREQUIPA,CAYLLOMA,MAJES,NA,NA,8,6,7,NA,1,6,28
AREQUIPA,CASTILLA,APLAO,NA,NA,NA,1,NA,NA,NA,NA,1
AYACUCHO,HUAMANGA,ACOCRO,NA,NA,NA,NA,NA,NA,NA,1,1
AYACUCHO,HUAMANGA,ACOS VINCHOS,1,NA,NA,1,NA,1,NA,1,4
AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,NA,NA,NA,1,1,1,1,4,8
AYACUCHO,HUAMANGA,AYACUCHO,5,5,6,9,10,13,9,17,74
AYACUCHO,HUAMANGA,CARMEN ALTO,1,3,4,1,3,4,7,7,30
AYACUCHO,HUAMANGA,JESUS NAZARENO,NA,2,2,3,1,NA,5,3,16
AYACUCHO,HUAMANGA,OCROS,NA,NA,NA,NA,1,NA,1,3,5
AYACUCHO,HUAMANGA,PACAYCASA,NA,NA,NA,NA,NA,NA,NA,1,1
AYACUCHO,HUAMANGA,QUINUA,NA,NA,1,2,NA,NA,NA,2,5
AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,NA,NA,NA,NA,1,1,NA,NA,2
AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,1,3,4,2,4,1,7,8,30
AYACUCHO,HUAMANGA,SOCOS,NA,NA,NA,2,NA,NA,1,1,4
AYACUCHO,HUAMANGA,TAMBILLO,NA,NA,NA,NA,NA,NA,1,NA,1
AYACUCHO,HUAMANGA,VINCHOS,2,1,1,1,1,3,3,NA,12
AYACUCHO,HUANTA,AYAHUANCO,NA,NA,NA,NA,NA,NA,NA,1,1
AYACUCHO,HUANTA,CANAYRE,1,NA,1,1,3,3,6,3,18
AYACUCHO,HUANTA,HUAMANGUILLA,NA,NA,NA,NA,NA,NA,NA,1,1
AYACUCHO,HUANTA,HUANTA,1,NA,8,5,9,1,3,8,35
AYACUCHO,HUANTA,IGUAIN,NA,NA,1,1,NA,NA,1,NA,3
AYACUCHO,HUANTA,LLOCHEGUA,1,4,4,5,9,4,7,3,37
AYACUCHO,HUANTA,LURICOCHA,NA,1,1,NA,2,2,NA,NA,6
AYACUCHO,HUANTA,SIVIA,NA,NA,3,NA,1,NA,2,1,7
AYACUCHO,HUANTA,UCHURACCAY,NA,NA,1,NA,NA,NA,NA,NA,1
AYACUCHO,LUCANAS,CHAVIÑA,NA,NA,2,NA,NA,NA,NA,NA,2
AYACUCHO,LUCANAS,PUQUIO,NA,NA,NA,1,NA,NA,NA,NA,1
AYACUCHO,LUCANAS,SANCOS,NA,NA,1,1,NA,NA,NA,NA,2
AYACUCHO,VICTOR FAJARDO,CANARIA,1,NA,1,NA,NA,NA,NA,NA,2
AYACUCHO,VICTOR FAJARDO,HUANCAPI,NA,NA,NA,NA,NA,NA,1,NA,1
AYACUCHO,VICTOR FAJARDO,SARHUA,NA,1,NA,NA,NA,NA,NA,NA,1
AYACUCHO,PARINACOCHAS,CORACORA,NA,NA,1,NA,NA,NA,NA,1,2
AYACUCHO,PARINACOCHAS,PULLO,NA,NA,1,NA,NA,NA,NA,NA,1
AYACUCHO,LA MAR,ANCHIHUAY,NA,NA,2,NA,NA,NA,NA,NA,2
AYACUCHO,LA MAR,ANCO,NA,1,NA,NA,NA,NA,NA,NA,1
AYACUCHO,LA MAR,AYNA,NA,1,2,1,3,4,6,4,21
AYACUCHO,LA MAR,CHILCAS,NA,NA,NA,NA,NA,NA,NA,1,1
AYACUCHO,LA MAR,CHUNGUI,NA,2,NA,NA,NA,1,NA,1,4
AYACUCHO,LA MAR,SAMUGARI,NA,NA,NA,3,1,4,1,2,11
AYACUCHO,LA MAR,SAN MIGUEL,NA,NA,NA,1,NA,NA,NA,NA,1
AYACUCHO,LA MAR,SANTA ROSA,1,4,3,4,6,3,7,4,32
AYACUCHO,LA MAR,TAMBO,NA,NA,1,NA,NA,NA,NA,2,3
AYACUCHO,VILCAS HUAMAN,CARHUANCA,1,NA,NA,NA,NA,NA,NA,NA,1
AYACUCHO,VILCAS HUAMAN,CONCEPCION,1,NA,NA,NA,NA,NA,NA,NA,1
AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,NA,1,NA,NA,NA,NA,NA,NA,1
AYACUCHO,CANGALLO,CANGALLO,1,1,NA,NA,NA,NA,1,1,4
AYACUCHO,CANGALLO,CHUSCHI,NA,NA,NA,NA,NA,NA,1,NA,1
AYACUCHO,CANGALLO,LOS MOROCHUCOS,NA,1,NA,NA,NA,NA,NA,NA,1
AYACUCHO,CANGALLO,PARAS,NA,NA,NA,NA,NA,1,NA,NA,1
AYACUCHO,CANGALLO,TOTOS,NA,NA,NA,NA,NA,NA,NA,2,2
AYACUCHO,SUCRE,CHALCOS,NA,NA,NA,1,NA,NA,NA,NA,1
AYACUCHO,HUANCA SANCOS,SACSAMARCA,NA,NA,NA,NA,NA,NA,NA,1,1
CAJAMARCA,JAEN,BELLAVISTA,NA,NA,2,2,3,NA,NA,NA,7
CAJAMARCA,JAEN,JAEN,NA,NA,1,NA,NA,1,4,3,9
CAJAMARCA,JAEN,PUCARA,NA,NA,NA,NA,NA,NA,1,NA,1
CAJAMARCA,JAEN,SANTA ROSA,NA,NA,NA,NA,1,NA,NA,NA,1
CAJAMARCA,SAN IGNACIO,LA COIPA,NA,NA,NA,NA,1,NA,NA,NA,1
CAJAMARCA,SAN IGNACIO,SAN IGNACIO,NA,1,NA,NA,NA,NA,4,7,12
CAJAMARCA,CAJAMARCA,CAJAMARCA,NA,NA,1,NA,NA,1,NA,NA,2
CAJAMARCA,CUTERVO,CUTERVO,NA,NA,NA,NA,NA,NA,NA,2,2
CAJAMARCA,CUTERVO,LA RAMADA,NA,NA,NA,NA,NA,NA,NA,1,1
CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,NA,NA,NA,1,NA,NA,NA,NA,1
CAJAMARCA,CUTERVO,SANTO TOMAS,NA,NA,NA,NA,NA,1,NA,NA,1
CAJAMARCA,CUTERVO,SOCOTA,NA,NA,NA,NA,NA,NA,NA,1,1
CAJAMARCA,CHOTA,CHOTA,NA,3,1,NA,NA,NA,NA,NA,4
CAJAMARCA,CHOTA,LAJAS,NA,NA,1,NA,NA,NA,NA,NA,1
CAJAMARCA,CHOTA,LLAMA,NA,NA,NA,NA,1,NA,NA,NA,1
CAJAMARCA,SAN MIGUEL,SAN MIGUEL,NA,NA,NA,NA,NA,NA,NA,2,2
CAJAMARCA,SAN MIGUEL,UNION AGUA BLANCA,NA,NA,1,NA,NA,NA,NA,1,2
CALLAO,CALLAO,BELLAVISTA,NA,1,1,6,11,9,9,4,41
CALLAO,CALLAO,CALLAO,NA,5,17,34,64,53,57,43,273
CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,NA,NA,1,2,NA,3,3,6,15
CALLAO,CALLAO,LA PERLA,NA,1,NA,2,6,2,5,6,22
CALLAO,CALLAO,LA PUNTA,NA,NA,NA,NA,NA,NA,NA,1,1
CALLAO,CALLAO,MI PERU,NA,NA,1,1,NA,NA,1,NA,3
CALLAO,CALLAO,VENTANILLA,NA,1,18,9,18,18,30,22,116
CUSCO,ANTA,ANCAHUASI,NA,1,NA,1,NA,1,1,1,5
CUSCO,ANTA,ANTA,NA,1,1,1,4,3,2,1,13
CUSCO,ANTA,CACHIMAYO,NA,NA,NA,NA,1,NA,NA,NA,1
CUSCO,ANTA,CHINCHAYPUJIO,NA,NA,NA,NA,1,NA,1,NA,2
CUSCO,ANTA,HUAROCONDO,NA,NA,NA,NA,1,1,NA,1,3
CUSCO,ANTA,LIMATAMBO,NA,1,1,1,NA,NA,NA,NA,3
CUSCO,ANTA,MOLLEPATA,NA,NA,NA,NA,NA,NA,NA,1,1
CUSCO,ANTA,PUCYURA,NA,NA,1,1,NA,NA,NA,NA,2
CUSCO,ANTA,ZURITE,NA,NA,1,NA,NA,NA,NA,NA,1
CUSCO,CUSCO,CUSCO,NA,2,2,8,7,6,9,8,42
CUSCO,CUSCO,POROY,NA,NA,NA,NA,NA,1,2,NA,3
CUSCO,CUSCO,SAN JERONIMO,NA,1,2,1,5,5,5,9,28
CUSCO,CUSCO,SAN SEBASTIAN,NA,11,6,5,5,4,7,5,43
CUSCO,CUSCO,SANTIAGO,NA,4,19,11,16,11,20,13,94
CUSCO,CUSCO,SAYLLA,NA,NA,1,3,1,1,NA,1,7
CUSCO,CUSCO,WANCHAQ,NA,NA,1,4,4,3,2,4,18
CUSCO,CHUMBIVILCAS,CAPACMARCA,NA,NA,NA,1,NA,1,NA,NA,2
CUSCO,CHUMBIVILCAS,COLQUEMARCA,NA,NA,NA,NA,NA,NA,1,2,3
CUSCO,CHUMBIVILCAS,LIVITACA,NA,1,NA,NA,NA,1,2,1,5
CUSCO,CHUMBIVILCAS,LLUSCO,NA,NA,NA,NA,NA,1,NA,NA,1
CUSCO,CHUMBIVILCAS,SANTO TOMAS,NA,NA,1,1,1,NA,NA,NA,3
CUSCO,CHUMBIVILCAS,VELILLE,NA,NA,NA,NA,NA,1,1,NA,2
CUSCO,LA CONVENCION,ECHARATE,11,9,5,7,10,2,2,2,48
CUSCO,LA CONVENCION,HUAYOPATA,NA,NA,2,1,2,NA,NA,NA,5
CUSCO,LA CONVENCION,INKAWASI,NA,NA,NA,NA,NA,NA,NA,1,1
CUSCO,LA CONVENCION,KIMBIRI,1,2,4,2,6,9,14,10,48
CUSCO,LA CONVENCION,KUMPIRUSHIATO,NA,NA,NA,NA,NA,NA,NA,1,1
CUSCO,LA CONVENCION,MANITEA,NA,NA,NA,NA,NA,NA,NA,1,1
CUSCO,LA CONVENCION,MARANURA,NA,2,NA,NA,NA,NA,NA,1,3
CUSCO,LA CONVENCION,MEGANTONI,NA,NA,11,11,6,3,2,3,36
CUSCO,LA CONVENCION,OCOBAMBA,NA,1,NA,NA,1,2,NA,NA,4
CUSCO,LA CONVENCION,PICHARI,NA,2,10,6,10,5,25,25,83
CUSCO,LA CONVENCION,QUELLOUNO,NA,NA,NA,NA,NA,NA,NA,2,2
CUSCO,LA CONVENCION,SANTA ANA,2,8,5,5,8,6,3,2,39
CUSCO,LA CONVENCION,SANTA TERESA,1,NA,NA,NA,NA,NA,1,1,3
CUSCO,LA CONVENCION,UNION ASHANINKA,NA,NA,NA,NA,NA,NA,NA,3,3
CUSCO,LA CONVENCION,VILCABAMBA,NA,1,NA,2,NA,NA,NA,NA,3
CUSCO,LA CONVENCION,VILLA KINTIARINA,NA,NA,NA,1,NA,NA,NA,1,2
CUSCO,LA CONVENCION,VILLA VIRGEN,NA,NA,NA,NA,NA,NA,1,1,2
CUSCO,CALCA,CALCA,NA,NA,NA,1,1,3,3,2,10
CUSCO,CALCA,COYA,NA,NA,NA,NA,NA,NA,NA,1,1
CUSCO,CALCA,LAMAY,NA,NA,NA,1,2,NA,1,NA,4
CUSCO,CALCA,PISAC,NA,1,NA,1,3,1,1,1,8
CUSCO,CALCA,SAN SALVADOR,NA,NA,NA,NA,NA,NA,NA,1,1
CUSCO,CALCA,TARAY,NA,NA,NA,NA,NA,NA,2,NA,2
CUSCO,CALCA,YANATILE,NA,NA,NA,2,2,1,NA,1,6
CUSCO,URUBAMBA,CHINCHERO,NA,NA,2,NA,2,1,1,1,7
CUSCO,URUBAMBA,MACHUPICCHU,NA,NA,NA,NA,1,NA,1,NA,2
CUSCO,URUBAMBA,MARAS,NA,NA,NA,NA,NA,1,1,NA,2
CUSCO,URUBAMBA,OLLANTAYTAMBO,NA,NA,1,1,1,1,NA,NA,4
CUSCO,URUBAMBA,URUBAMBA,NA,NA,1,2,4,3,2,4,16
CUSCO,URUBAMBA,YUCAY,NA,NA,NA,NA,NA,1,NA,1,2
CUSCO,PAUCARTAMBO,CHALLABAMBA,NA,NA,1,NA,NA,NA,NA,NA,1
CUSCO,PAUCARTAMBO,COLQUEPATA,NA,NA,NA,NA,NA,NA,1,NA,1
CUSCO,PAUCARTAMBO,HUANCARANI,NA,NA,2,NA,NA,NA,1,NA,3
CUSCO,PAUCARTAMBO,KOSÑIPATA,NA,3,1,NA,1,2,1,NA,8
CUSCO,PAUCARTAMBO,PAUCARTAMBO,NA,1,1,NA,1,NA,NA,NA,3
CUSCO,QUISPICANCHI,CAMANTI,NA,1,NA,NA,NA,NA,NA,NA,1
CUSCO,QUISPICANCHI,CCARHUAYO,NA,NA,NA,NA,NA,NA,1,NA,1
CUSCO,QUISPICANCHI,CCATCA,NA,1,NA,NA,1,NA,NA,4,6
CUSCO,QUISPICANCHI,CUSIPATA,NA,NA,1,NA,NA,NA,NA,NA,1
CUSCO,QUISPICANCHI,LUCRE,NA,NA,NA,NA,NA,1,NA,NA,1
CUSCO,QUISPICANCHI,OCONGATE,NA,NA,NA,NA,NA,NA,1,NA,1
CUSCO,QUISPICANCHI,OROPESA,NA,NA,NA,5,1,3,1,NA,10
CUSCO,QUISPICANCHI,QUIQUIJANA,NA,NA,NA,NA,NA,2,NA,NA,2
CUSCO,QUISPICANCHI,URCOS,NA,1,NA,NA,1,1,NA,NA,3
CUSCO,CANCHIS,CHECACUPE,NA,NA,NA,NA,NA,NA,1,NA,1
CUSCO,CANCHIS,COMBAPATA,NA,NA,NA,NA,NA,NA,NA,1,1
CUSCO,CANCHIS,MARANGANI,1,NA,2,NA,NA,1,1,1,6
CUSCO,CANCHIS,PITUMARCA,NA,NA,NA,NA,NA,NA,2,1,3
CUSCO,CANCHIS,SICUANI,2,3,6,12,8,3,2,3,39
CUSCO,CANCHIS,TINTA,NA,NA,NA,NA,NA,1,NA,1,2
CUSCO,PARURO,ACCHA,NA,3,NA,NA,NA,NA,NA,NA,3
CUSCO,PARURO,HUANOQUITE,NA,NA,NA,1,NA,NA,NA,NA,1
CUSCO,PARURO,PACCARITAMBO,NA,NA,NA,NA,NA,NA,NA,1,1
CUSCO,PARURO,YAURISQUE,NA,NA,NA,NA,1,NA,NA,NA,1
CUSCO,CANAS,LAYO,NA,NA,NA,NA,NA,1,NA,NA,1
CUSCO,CANAS,PAMPAMARCA,NA,NA,NA,NA,NA,1,NA,NA,1
CUSCO,CANAS,YANAOCA,NA,NA,NA,NA,NA,1,NA,NA,1
CUSCO,ESPINAR,ESPINAR,NA,1,2,2,NA,1,2,NA,8
CUSCO,ESPINAR,PALLPATA,1,1,NA,NA,NA,NA,NA,NA,2
CUSCO,ACOMAYO,SANGARARA,NA,NA,NA,NA,NA,1,NA,1,2
HUANCAVELICA,ACOBAMBA,ACOBAMBA,NA,NA,1,NA,NA,NA,NA,NA,1
HUANCAVELICA,TAYACAJA,ACRAQUIA,1,1,NA,NA,NA,NA,NA,NA,2
HUANCAVELICA,TAYACAJA,AHUAYCHA,NA,NA,1,1,NA,NA,NA,NA,2
HUANCAVELICA,TAYACAJA,ANDAYMARCA,NA,NA,2,NA,NA,NA,NA,NA,2
HUANCAVELICA,TAYACAJA,COLCABAMBA,NA,5,1,1,NA,NA,NA,1,8
HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,1,NA,NA,1,NA,1,NA,NA,3
HUANCAVELICA,TAYACAJA,HUACHOCOLPA,NA,1,NA,NA,NA,NA,NA,NA,1
HUANCAVELICA,TAYACAJA,PAMPAS,NA,NA,NA,2,NA,NA,NA,NA,2
HUANCAVELICA,TAYACAJA,PAZOS,1,2,NA,NA,NA,NA,NA,1,4
HUANCAVELICA,TAYACAJA,PICHOS,NA,NA,NA,NA,NA,1,NA,NA,1
HUANCAVELICA,TAYACAJA,SALCAHUASI,NA,NA,NA,NA,NA,NA,NA,1,1
HUANCAVELICA,HUANCAVELICA,ACORIA,NA,NA,2,NA,NA,NA,1,3,6
HUANCAVELICA,HUANCAVELICA,ASCENSION,1,NA,NA,NA,NA,NA,NA,1,2
HUANCAVELICA,HUANCAVELICA,CONAYCA,NA,1,NA,NA,NA,NA,NA,NA,1
