departamento,provincia,distrito,D,E,F,G,H,I,J,K,total
AMAZONAS,LUYA,CAMPORREDONDO,,,,1,,,,,1
AMAZONAS,LUYA,LONGUITA,,,,,,1,,,1
AMAZONAS,LUYA,OCALLI,,,,1,,,,,1
AMAZONAS,LUYA,OCUMAL,,,,,1,,,,1
AMAZONAS,LUYA,SANTO TOMAS,,,,1,,1,,,2
AMAZONAS,CHACHAPOYAS,BALSAS,,,,,,,,1,1
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,,,,,1,,,1
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,,,,,1,,,,1
AMAZONAS,BAGUA,ARAMANGO,,2,,,,,,,2
AMAZONAS,BAGUA,BAGUA,,5,3,1,5,3,3,1,21
AMAZONAS,BAGUA,IMAZA,,24,11,7,7,6,11,5,71
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,,5,3,3,1,,,,12
AMAZONAS,UTCUBAMBA,CAJARURO,,1,1,1,,1,1,1,6
AMAZONAS,UTCUBAMBA,CUMBA,,,2,,1,,,,3
AMAZONAS,UTCUBAMBA,LONYA GRANDE,,2,,,,,,,2
AMAZONAS,UTCUBAMBA,YAMON,,,,,1,,,,1
AMAZONAS,BONGARA,JUMBILLA,,,,,1,,,,1
AMAZONAS,BONGARA,YAMBRASBAMBA,,,,,,1,,,1
AMAZONAS,CONDORCANQUI,EL CENEPA,,,,,1,,,,1
AMAZONAS,CONDORCANQUI,NIEVA,,,,1,,1,,1,3
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,,,1,,,,,1,2
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,,,,1,,1,,,2
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,,,,,,,1,,1
ANCASH,CASMA,BUENA VISTA ALTA,,,,1,,,,,1
ANCASH,CASMA,CASMA,,,,,,,,3,3
ANCASH,CASMA,YAUTAN,,,,,1,,,,1
ANCASH,SANTA,CHIMBOTE,,,,7,2,,1,5,15
ANCASH,SANTA,COISHCO,,,,,1,,,,1
ANCASH,SANTA,MORO,,1,,,1,,,,2
ANCASH,SANTA,NEPEÑA,,,,1,1,,,,2
ANCASH,SANTA,NUEVO CHIMBOTE,,,10,5,4,,3,20,42
ANCASH,YUNGAY,QUILLO,,,,,,,,1,1
ANCASH,YUNGAY,YUNGAY,,,,,,,4,3,7
ANCASH,HUARAZ,HUARAZ,,,,,1,2,1,1,5
ANCASH,HUARAZ,INDEPENDENCIA,,,,,2,1,1,2,6
ANCASH,HUARAZ,PARIACOTO,,,,1,,,,,1
ANCASH,HUARAZ,TARICA,,,,,1,,,,1
ANCASH,RECUAY,CATAC,,,,1,,,,,1
ANCASH,HUAYLAS,CARAZ,,,,2,2,,8,3,15
ANCASH,HUAYLAS,HUAYLAS,,,,,,,,1,1
ANCASH,BOLOGNESI,CANIS,,,,1,,,,,1
ANCASH,BOLOGNESI,CHIQUIAN,,,1,,1,,,,2
ANCASH,BOLOGNESI,HUALLANCA,,,,1,,,1,,2
ANCASH,CARHUAZ,CARHUAZ,,,,,,,,1,1
ANCASH,CARHUAZ,MARCARA,,,,,1,,,,1
ANCASH,POMABAMBA,POMABAMBA,,,,,1,,1,1,3
ANCASH,POMABAMBA,QUINUABAMBA,,1,,,,,,,1
ANCASH,SIHUAS,HUAYLLABAMBA,,1,,,,,,,1
ANCASH,SIHUAS,SIHUAS,,1,1,,,,,1,3
ANCASH,MARISCAL LUZURIAGA,CASCA,,,,,,,1,,1
ANCASH,AIJA,AIJA,,,,,,,1,,1
APURIMAC,ABANCAY,ABANCAY,,4,,1,8,,,5,18
APURIMAC,ABANCAY,CIRCA,,,,,1,,,,1
APURIMAC,ABANCAY,CURAHUASI,,1,,,,,,,1
APURIMAC,ABANCAY,LAMBRAMA,,,1,1,,,,,2
APURIMAC,ABANCAY,TAMBURCO,,1,,,,,,,1
APURIMAC,COTABAMBAS,COYLLURQUI,,,,,1,,2,,3
APURIMAC,COTABAMBAS,TAMBOBAMBA,,,,1,,,1,,2
APURIMAC,AYMARAES,CHALHUANCA,1,1,,,,,,,2
APURIMAC,AYMARAES,COTARUSE,,1,,,,,1,3,5
APURIMAC,GRAU,CHUQUIBAMBILLA,,,,1,,,,,1
APURIMAC,GRAU,CURPAHUASI,,,1,,,,,,1
APURIMAC,GRAU,MARISCAL GAMARRA,,,,,,,,1,1
APURIMAC,GRAU,VILCABAMBA,,,,,,1,,,1
APURIMAC,ANTABAMBA,ANTABAMBA,,,,,,,1,,1
APURIMAC,ANTABAMBA,OROPESA,,,1,,1,,,,2
APURIMAC,ANTABAMBA,SABAINO,,1,,,,,,,1
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,,,1,,2,,3,2,8
APURIMAC,ANDAHUAYLAS,HUANCARAMA,,,,1,,,,,1
APURIMAC,ANDAHUAYLAS,KISHUARA,,,,,,,,1,1
APURIMAC,ANDAHUAYLAS,PACUCHA,,,1,,,,,,1
APURIMAC,ANDAHUAYLAS,PAMPACHIRI,,,,1,,,,,1
APURIMAC,ANDAHUAYLAS,SAN JERONIMO,,,2,,,1,,,3
APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,,1,,,,,,,1
APURIMAC,ANDAHUAYLAS,TALAVERA,,,,,2,,1,1,4
APURIMAC,CHINCHEROS,ANCO HUALLO,,,,,,1,,,1
APURIMAC,CHINCHEROS,CHINCHEROS,,,,1,1,1,1,1,5
APURIMAC,CHINCHEROS,COCHARCAS,,,,1,,,,,1
APURIMAC,CHINCHEROS,HUACCANA,,,1,,,,,,1
APURIMAC,CHINCHEROS,LOS CHANKAS,,,,,,1,1,,2
APURIMAC,CHINCHEROS,OCOBAMBA,,,,,,1,,,1
APURIMAC,CHINCHEROS,RANRACANCHA,,,,,,,,1,1
APURIMAC,CHINCHEROS,ROCCHACC,,,,,1,,,,1
AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,,,,,1,1,2,2,6
AREQUIPA,AREQUIPA,AREQUIPA,,,,,1,1,,2,4
AREQUIPA,AREQUIPA,CAYMA,,,3,1,3,1,1,3,12
AREQUIPA,AREQUIPA,CERRO COLORADO,,5,3,1,5,3,5,4,26
AREQUIPA,AREQUIPA,JACOBO HUNTER,,,1,1,2,,,,4
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,,1,3,,,,,2,6
AREQUIPA,AREQUIPA,LA JOYA,,,1,2,1,,1,4,9
AREQUIPA,AREQUIPA,MARIANO MELGAR,,1,1,2,,2,3,7,16
AREQUIPA,AREQUIPA,MIRAFLORES,,,,3,1,1,,1,6
AREQUIPA,AREQUIPA,PAUCARPATA,,1,3,4,5,3,1,8,25
AREQUIPA,AREQUIPA,QUEQUEÑA,,,,,,,,1,1
AREQUIPA,AREQUIPA,SABANDIA,,,,,1,,,,1
AREQUIPA,AREQUIPA,SACHACA,,,,1,,1,1,1,4
AREQUIPA,AREQUIPA,SOCABAYA,,1,,1,,,1,1,4
AREQUIPA,AREQUIPA,TIABAYA,,,,1,,2,,,3
AREQUIPA,AREQUIPA,UCHUMAYO,,,,,,1,1,,2
AREQUIPA,AREQUIPA,YANAHUARA,,,,,,,,1,1
AREQUIPA,AREQUIPA,YURA,,2,3,3,,,,1,9
AREQUIPA,CARAVELI,CHALA,,,,,,,1,1,2
AREQUIPA,CAMANA,CAMANA,,,,1,,,,2,3
AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,,,,,,,,1,1
AREQUIPA,CAMANA,MARISCAL CACERES,,,,,1,,2,,3
AREQUIPA,CAMANA,OCOÑA,,,,,1,,,,1
AREQUIPA,CAMANA,SAMUEL PASTOR,,,,,,,,1,1
AREQUIPA,ISLAY,COCACHACRA,,,,1,,,,,1
AREQUIPA,ISLAY,DEAN VALDIVIA,,,,2,,,1,,3
AREQUIPA,ISLAY,PUNTA DE BOMBON,,,,,1,,,,1
AREQUIPA,CAYLLOMA,CHIVAY,,,1,,,,,,1
AREQUIPA,CAYLLOMA,MAJES,,,8,6,7,,1,6,28
AREQUIPA,CASTILLA,APLAO,,,,1,,,,,1
AYACUCHO,HUAMANGA,ACOCRO,,,,,,,,1,1
AYACUCHO,HUAMANGA,ACOS VINCHOS,1,,,1,,1,,1,4
AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,,,,1,1,1,1,4,8
AYACUCHO,HUAMANGA,AYACUCHO,5,5,6,9,10,13,9,17,74
AYACUCHO,HUAMANGA,CARMEN ALTO,1,3,4,1,3,4,7,7,30
AYACUCHO,HUAMANGA,JESUS NAZARENO,,2,2,3,1,,5,3,16
AYACUCHO,HUAMANGA,OCROS,,,,,1,,1,3,5
AYACUCHO,HUAMANGA,PACAYCASA,,,,,,,,1,1
AYACUCHO,HUAMANGA,QUINUA,,,1,2,,,,2,5
AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,,,,,1,1,,,2
AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,1,3,4,2,4,1,7,8,30
AYACUCHO,HUAMANGA,SOCOS,,,,2,,,1,1,4
AYACUCHO,HUAMANGA,TAMBILLO,,,,,,,1,,1
AYACUCHO,HUAMANGA,VINCHOS,2,1,1,1,1,3,3,,12
AYACUCHO,HUANTA,AYAHUANCO,,,,,,,,1,1
AYACUCHO,HUANTA,CANAYRE,1,,1,1,3,3,6,3,18
AYACUCHO,HUANTA,HUAMANGUILLA,,,,,,,,1,1
AYACUCHO,HUANTA,HUANTA,1,,8,5,9,1,3,8,35
AYACUCHO,HUANTA,IGUAIN,,,1,1,,,1,,3
AYACUCHO,HUANTA,LLOCHEGUA,1,4,4,5,9,4,7,3,37
AYACUCHO,HUANTA,LURICOCHA,,1,1,,2,2,,,6
AYACUCHO,HUANTA,SIVIA,,,3,,1,,2,1,7
AYACUCHO,HUANTA,UCHURACCAY,,,1,,,,,,1
AYACUCHO,LUCANAS,CHAVIÑA,,,2,,,,,,2
AYACUCHO,LUCANAS,PUQUIO,,,,1,,,,,1
AYACUCHO,LUCANAS,SANCOS,,,1,1,,,,,2
AYACUCHO,VICTOR FAJARDO,CANARIA,1,,1,,,,,,2
AYACUCHO,VICTOR FAJARDO,HUANCAPI,,,,,,,1,,1
AYACUCHO,VICTOR FAJARDO,SARHUA,,1,,,,,,,1
AYACUCHO,PARINACOCHAS,CORACORA,,,1,,,,,1,2
AYACUCHO,PARINACOCHAS,PULLO,,,1,,,,,,1
AYACUCHO,LA MAR,ANCHIHUAY,,,2,,,,,,2
AYACUCHO,LA MAR,ANCO,,1,,,,,,,1
AYACUCHO,LA MAR,AYNA,,1,2,1,3,4,6,4,21
AYACUCHO,LA MAR,CHILCAS,,,,,,,,1,1
AYACUCHO,LA MAR,CHUNGUI,,2,,,,1,,1,4
AYACUCHO,LA MAR,SAMUGARI,,,,3,1,4,1,2,11
AYACUCHO,LA MAR,SAN MIGUEL,,,,1,,,,,1
AYACUCHO,LA MAR,SANTA ROSA,1,4,3,4,6,3,7,4,32
AYACUCHO,LA MAR,TAMBO,,,1,,,,,2,3
AYACUCHO,VILCAS HUAMAN,CARHUANCA,1,,,,,,,,1
AYACUCHO,VILCAS HUAMAN,CONCEPCION,1,,,,,,,,1
AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,,1,,,,,,,1
AYACUCHO,CANGALLO,CANGALLO,1,1,,,,,1,1,4
AYACUCHO,CANGALLO,CHUSCHI,,,,,,,1,,1
AYACUCHO,CANGALLO,LOS MOROCHUCOS,,1,,,,,,,1
AYACUCHO,CANGALLO,PARAS,,,,,,1,,,1
AYACUCHO,CANGALLO,TOTOS,,,,,,,,2,2
AYACUCHO,SUCRE,CHALCOS,,,,1,,,,,1
AYACUCHO,HUANCA SANCOS,SACSAMARCA,,,,,,,,1,1
CAJAMARCA,JAEN,BELLAVISTA,,,2,2,3,,,,7
CAJAMARCA,JAEN,JAEN,,,1,,,1,4,3,9
CAJAMARCA,JAEN,PUCARA,,,,,,,1,,1
CAJAMARCA,JAEN,SANTA ROSA,,,,,1,,,,1
CAJAMARCA,SAN IGNACIO,LA COIPA,,,,,1,,,,1
CAJAMARCA,SAN IGNACIO,SAN IGNACIO,,1,,,,,4,7,12
CAJAMARCA,CAJAMARCA,CAJAMARCA,,,1,,,1,,,2
CAJAMARCA,CUTERVO,CUTERVO,,,,,,,,2,2
CAJAMARCA,CUTERVO,LA RAMADA,,,,,,,,1,1
CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,,,,1,,,,,1
CAJAMARCA,CUTERVO,SANTO TOMAS,,,,,,1,,,1
CAJAMARCA,CUTERVO,SOCOTA,,,,,,,,1,1
CAJAMARCA,CHOTA,CHOTA,,3,1,,,,,,4
CAJAMARCA,CHOTA,LAJAS,,,1,,,,,,1
CAJAMARCA,CHOTA,LLAMA,,,,,1,,,,1
CAJAMARCA,SAN MIGUEL,SAN MIGUEL,,,,,,,,2,2
CAJAMARCA,SAN MIGUEL,UNION AGUA BLANCA,,,1,,,,,1,2
CALLAO,CALLAO,BELLAVISTA,,1,1,6,11,9,9,4,41
CALLAO,CALLAO,CALLAO,,5,17,34,64,53,57,43,273
CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,,,1,2,,3,3,6,15
CALLAO,CALLAO,LA PERLA,,1,,2,6,2,5,6,22
CALLAO,CALLAO,LA PUNTA,,,,,,,,1,1
CALLAO,CALLAO,MI PERU,,,1,1,,,1,,3
CALLAO,CALLAO,VENTANILLA,,1,18,9,18,18,30,22,116
CUSCO,ANTA,ANCAHUASI,,1,,1,,1,1,1,5
CUSCO,ANTA,ANTA,,1,1,1,4,3,2,1,13
CUSCO,ANTA,CACHIMAYO,,,,,1,,,,1
CUSCO,ANTA,CHINCHAYPUJIO,,,,,1,,1,,2
CUSCO,ANTA,HUAROCONDO,,,,,1,1,,1,3
CUSCO,ANTA,LIMATAMBO,,1,1,1,,,,,3
CUSCO,ANTA,MOLLEPATA,,,,,,,,1,1
CUSCO,ANTA,PUCYURA,,,1,1,,,,,2
CUSCO,ANTA,ZURITE,,,1,,,,,,1
CUSCO,CUSCO,CUSCO,,2,2,8,7,6,9,8,42
CUSCO,CUSCO,POROY,,,,,,1,2,,3
CUSCO,CUSCO,SAN JERONIMO,,1,2,1,5,5,5,9,28
CUSCO,CUSCO,SAN SEBASTIAN,,11,6,5,5,4,7,5,43
CUSCO,CUSCO,SANTIAGO,,4,19,11,16,11,20,13,94
CUSCO,CUSCO,SAYLLA,,,1,3,1,1,,1,7
CUSCO,CUSCO,WANCHAQ,,,1,4,4,3,2,4,18
CUSCO,CHUMBIVILCAS,CAPACMARCA,,,,1,,1,,,2
CUSCO,CHUMBIVILCAS,COLQUEMARCA,,,,,,,1,2,3
CUSCO,CHUMBIVILCAS,LIVITACA,,1,,,,1,2,1,5
CUSCO,CHUMBIVILCAS,LLUSCO,,,,,,1,,,1
CUSCO,CHUMBIVILCAS,SANTO TOMAS,,,1,1,1,,,,3
CUSCO,CHUMBIVILCAS,VELILLE,,,,,,1,1,,2
CUSCO,LA CONVENCION,ECHARATE,11,9,5,7,10,2,2,2,48
CUSCO,LA CONVENCION,HUAYOPATA,,,2,1,2,,,,5
CUSCO,LA CONVENCION,INKAWASI,,,,,,,,1,1
CUSCO,LA CONVENCION,KIMBIRI,1,2,4,2,6,9,14,10,48
CUSCO,LA CONVENCION,KUMPIRUSHIATO,,,,,,,,1,1
CUSCO,LA CONVENCION,MANITEA,,,,,,,,1,1
CUSCO,LA CONVENCION,MARANURA,,2,,,,,,1,3
CUSCO,LA CONVENCION,MEGANTONI,,,11,11,6,3,2,3,36
CUSCO,LA CONVENCION,OCOBAMBA,,1,,,1,2,,,4
CUSCO,LA CONVENCION,PICHARI,,2,10,6,10,5,25,25,83
CUSCO,LA CONVENCION,QUELLOUNO,,,,,,,,2,2
CUSCO,LA CONVENCION,SANTA ANA,2,8,5,5,8,6,3,2,39
CUSCO,LA CONVENCION,SANTA TERESA,1,,,,,,1,1,3
CUSCO,LA CONVENCION,UNION ASHANINKA,,,,,,,,3,3
CUSCO,LA CONVENCION,VILCABAMBA,,1,,2,,,,,3
CUSCO,LA CONVENCION,VILLA KINTIARINA,,,,1,,,,1,2
CUSCO,LA CONVENCION,VILLA VIRGEN,,,,,,,1,1,2
CUSCO,CALCA,CALCA,,,,1,1,3,3,2,10
CUSCO,CALCA,COYA,,,,,,,,1,1
CUSCO,CALCA,LAMAY,,,,1,2,,1,,4
CUSCO,CALCA,PISAC,,1,,1,3,1,1,1,8
CUSCO,CALCA,SAN SALVADOR,,,,,,,,1,1
CUSCO,CALCA,TARAY,,,,,,,2,,2
CUSCO,CALCA,YANATILE,,,,2,2,1,,1,6
CUSCO,URUBAMBA,CHINCHERO,,,2,,2,1,1,1,7
CUSCO,URUBAMBA,MACHUPICCHU,,,,,1,,1,,2
CUSCO,URUBAMBA,MARAS,,,,,,1,1,,2
CUSCO,URUBAMBA,OLLANTAYTAMBO,,,1,1,1,1,,,4
CUSCO,URUBAMBA,URUBAMBA,,,1,2,4,3,2,4,16
CUSCO,URUBAMBA,YUCAY,,,,,,1,,1,2
CUSCO,PAUCARTAMBO,CHALLABAMBA,,,1,,,,,,1
CUSCO,PAUCARTAMBO,COLQUEPATA,,,,,,,1,,1
CUSCO,PAUCARTAMBO,HUANCARANI,,,2,,,,1,,3
CUSCO,PAUCARTAMBO,KOSÑIPATA,,3,1,,1,2,1,,8
CUSCO,PAUCARTAMBO,PAUCARTAMBO,,1,1,,1,,,,3
CUSCO,QUISPICANCHI,CAMANTI,,1,,,,,,,1
CUSCO,QUISPICANCHI,CCARHUAYO,,,,,,,1,,1
CUSCO,QUISPICANCHI,CCATCA,,1,,,1,,,4,6
CUSCO,QUISPICANCHI,CUSIPATA,,,1,,,,,,1
CUSCO,QUISPICANCHI,LUCRE,,,,,,1,,,1
CUSCO,QUISPICANCHI,OCONGATE,,,,,,,1,,1
CUSCO,QUISPICANCHI,OROPESA,,,,5,1,3,1,,10
CUSCO,QUISPICANCHI,QUIQUIJANA,,,,,,2,,,2
CUSCO,QUISPICANCHI,URCOS,,1,,,1,1,,,3
CUSCO,CANCHIS,CHECACUPE,,,,,,,1,,1
CUSCO,CANCHIS,COMBAPATA,,,,,,,,1,1
CUSCO,CANCHIS,MARANGANI,1,,2,,,1,1,1,6
CUSCO,CANCHIS,PITUMARCA,,,,,,,2,1,3
CUSCO,CANCHIS,SICUANI,2,3,6,12,8,3,2,3,39
CUSCO,CANCHIS,TINTA,,,,,,1,,1,2
CUSCO,PARURO,ACCHA,,3,,,,,,,3
CUSCO,PARURO,HUANOQUITE,,,,1,,,,,1
CUSCO,PARURO,PACCARITAMBO,,,,,,,,1,1
CUSCO,PARURO,YAURISQUE,,,,,1,,,,1
CUSCO,CANAS,LAYO,,,,,,1,,,1
CUSCO,CANAS,PAMPAMARCA,,,,,,1,,,1
CUSCO,CANAS,YANAOCA,,,,,,1,,,1
CUSCO,ESPINAR,ESPINAR,,1,2,2,,1,2,,8
CUSCO,ESPINAR,PALLPATA,1,1,,,,,,,2
CUSCO,ACOMAYO,SANGARARA,,,,,,1,,1,2
HUANCAVELICA,ACOBAMBA,ACOBAMBA,,,1,,,,,,1
HUANCAVELICA,TAYACAJA,ACRAQUIA,1,1,,,,,,,2
HUANCAVELICA,TAYACAJA,AHUAYCHA,,,1,1,,,,,2
HUANCAVELICA,TAYACAJA,ANDAYMARCA,,,2,,,,,,2
HUANCAVELICA,TAYACAJA,COLCABAMBA,,5,1,1,,,,1,8
HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,1,,,1,,1,,,3
HUANCAVELICA,TAYACAJA,HUACHOCOLPA,,1,,,,,,,1
HUANCAVELICA,TAYACAJA,PAMPAS,,,,2,,,,,2
HUANCAVELICA,TAYACAJA,PAZOS,1,2,,,,,,1,4
HUANCAVELICA,TAYACAJA,PICHOS,,,,,,1,,,1
HUANCAVELICA,TAYACAJA,SALCAHUASI,,,,,,,,1,1
HUANCAVELICA,HUANCAVELICA,ACORIA,,,2,,,,1,3,6
HUANCAVELICA,HUANCAVELICA,ASCENSION,1,,,,,,,1,2
HUANCAVELICA,HUANCAVELICA,CONAYCA,,1,,,,,,,1
HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,1,,2,2,1,,2,,8
HUANCAVELICA,HUANCAVELICA,HUANDO,,,,,,,,1,1
HUANCAVELICA,HUANCAVELICA,IZCUCHACA,,1,,,,,,,1
HUANCAVELICA,HUANCAVELICA,MOYA,,1,,,,,,,1
HUANCAVELICA,HUANCAVELICA,YAULI,,1,,2,,1,,,4
